CourseID,CourseNumber,CourseTitle,TitleShortDescription,MinCredit,MaxCredit
538,B200,Lowcountry Studies Honors Sem,Lowcountry Studies Honors Sem,1,NULL
539,B300,Macro Level HMSV Interventions,Macro Level HMSV Interventions,3,NULL
540,B222,Macroeconomics,Macroeconomics,3,NULL
541,B312,Mangement by Menu,Mangement by Menu,1,NULL
542,B475,Marine Ecology,Marine Ecology,3,NULL
543,B475L,Marine Ecology Laboratory,Marine Ecology Laboratory,1,NULL
544,B401,Marine Internship,Marine Internship,0,3
545,B490,Marine Policy,Marine Policy,3,NULL
546,B799,Master's Thesis,Master's Thesis,3,6
547,B435,Math Experiences in ECE,Math Experiences in ECE,3,NULL
548,B421,Math for Secondary Teachers,Math for Secondary Teachers,3,NULL
549,B172,Math Modeling for Life Science,Math Modeling for Life Science,3,NULL
550,B111,Math Prep for Praxis Core,Math Prep for Praxis Core,1,NULL
551,B440P,Math/Science Practicum,Math/Science Practicum,3,NULL
552,B419,Mathematical Modeling,Mathematical Modeling,4,NULL
553,B306,Media 2.0,Strategic Social Media,3,NULL
554,B240,Media and Society,Media and Society,3,NULL
555,B102,Media Design,Media Design,3,NULL
556,B452,Medical Anthropology,Medical Anthropology,3,NULL
557,B461,Medical Parasitology,Medical Parasitology,3,NULL
558,B461L,Medical Parasitology Lab,Medical Parasitology Lab,1,NULL
559,B412,Mental Health Nursing,Care of Indiv with Mental & Ad,3,NULL
560,B282,Mezzo Level HMSV Interventions,Mezzo Level HMSV Interventions,3,NULL
561,B390,Mgmt Information Systems,Mgmt Information Systems,3,NULL
562,B473,Mgmt Operations of Small Bus,Mgmt Operations of Small Bus,3,NULL
563,B280,Micro Level HMSV Interventions,Micro Level HMSV Interventions,3,NULL
564,B230,Microbiology,Microbiology,4,NULL
565,B221,Microeconomics,Microeconomics,3,NULL
566,B355,Minority Group Relations,Minority Group Relations,3,NULL
567,B454,Mktg Communications Strategy,Mktg Communications Strategy,3,NULL
568,B465,Mkting Strategy and Planning,Mkting Strategy and Planning,3,NULL
569,B250,Mobile Application Development,Mobile Application Development,3,NULL
570,B450,Modeling and Simulation,Modeling and Simulation,3,NULL
571,B450,Modern English Grammars,Modern English Grammars,3,NULL
572,B421,Modern Latin America,Modern Latin America,3,NULL
573,B480,Molecular Marine Ecology,Molecular Marine Ecology,3,NULL
574,B301,Money and Banking,Money and Banking,3,NULL
575,B410,Narrative Media,Narrative Media,3,NULL
576,B435,Neurobiology,Neurobiology,3,NULL
577,B435L,Neurobiology Laboratory,Neurobiology Laboratory,1,NULL
578,B301,Nineteenth-and 20th C  Phil,Nineteenth-and 20th C  Phil,3,NULL
579,B402,Nonprofit Management & Funding,Nonprofit Management & Funding,3,NULL
580,B333,North American Prehistory,North American Prehistory,3,NULL
581,B427,Numerical Analysis,Numerical Analysis,3,NULL
582,B502,Numerical Analysis & Computing,Numerical Analysis & Computing,3,NULL
583,B357,Nurs Concepts in Adult Health,Nurs Concepts in Adult Health,3,NULL
584,B100,Nursing Honors Seminar,Nursing Honors Seminar,1,NULL
585,B101,Nursing Honors Seminar II,Nursing Honors Seminar II,1,NULL
586,B200,Nursing Honors Seminar III,Nursing Honors Seminar III,1,NULL
587,B201,Nursing Honors Seminar IV,Nursing Honors Seminar IV,1,NULL
588,B350,Nursing Research,Science of Evidence-Based Prac,3,NULL
589,B242,Nutrition,Nutrition,3,NULL
590,B328,Nutrition & Chronic Disease,Nutrition & Chronic Disease,3,NULL
591,B145,Object-Oriented Program I,Object-Oriented Program I,4,NULL
592,B145,Object-Oriented Programming I,Object-Oriented Programming I,4,NULL
593,B146,Object-Oriented Programming II,Object-Oriented Programming II,4,NULL
594,B210,Oceans and Man,Oceans and Society,4,NULL
595,B210,Oceans and Society,Oceans and Society,4,NULL
596,B475,Operations & Supply Chain,Operations & Supply Chain,3,NULL
597,B202,Oral Communication,Communication & Cultural Comp,3,NULL
598,B202,Oral Communication,Oral Communication,3,NULL
599,B201,Oral Expression & Career Build,Oral Expression & Career Build,3,NULL
600,B340,Oral Interpredtation of Lit,Oral Interpredtation of Lit,3,NULL
601,B442,Org & Management in Secondary,Org & Management in Secondary,3,NULL
602,B441,Org Mgmt in Diverse Classroom,Org Mgmt in Diverse Classroom,3,NULL
603,B333,Organic Chemistry I,Organic Chemistry I,3,NULL
604,B334,Organic Chemistry II,Organic Chemistry II,3,NULL
605,B376,Organization Behavior,Organization Behavior,3,NULL
606,B230,Organizational Communication,Organizational Communication,3,NULL
607,B210,Painting I,Painting I,3,NULL
608,B310,Painting II,Painting II,3,NULL
609,B311,Painting III,Painting III,3,NULL
610,B310,Pathophysiology,Pathophysiology,3,NULL
611,B341,Performance of Caring,Performance of Caring,3,NULL
612,B481,Performative Media,Performative Media,3,NULL
613,B430,Performing Shakespear,Performing Shakespear,3,NULL
614,B231,Personal & Comm Health,Personal & Comm Health,3,NULL
615,B231,Personal and Community Health,Personal & Comm Health,3,NULL
616,B180,Personal and Professional Dev,Personal and Professional Dev,3,NULL
617,B104,Personal Fitness & Weight Ctrl,Personal Fitness & Weight Ctrl,1,NULL
618,B341,Personality Theory,Personality Theory,3,NULL
619,B378,Perspective in Public Sociolog,Perspective in Public Sociolog,3,NULL
620,B308,Persuasion & Social Influence,Persuasion & Social Influence,3,NULL
621,B320,Pharmacologic Interventions,Pharmacologic Interventions,3,NULL
622,B313,Philosophy of Art,Philosophy of Art,3,NULL
623,B363,Philosophy of Film,Philosophy of Film,3,NULL
624,B315,Philosophy of Technology,Philosophy of Technology,3,NULL
625,B101L,Physics How Things Work I Lab,Physics How Things Work I Lab,1,NULL
626,B101,Physics of How Things Work I,Physics of How Things Work I,3,NULL
627,B441L,Pinciples of Biochemistry Lab,Principles of Biochemistry Lab,1,NULL
628,B200,Plant Science,Plant Science,3,NULL
629,B200L,Plant Science Laboratory,Plant Science Laboratory,1,NULL
630,B322,Playwriting,Playwriting,3,NULL
631,B464,Poetry Workshop,Poetry Workshop,3,NULL
632,B409,Positive Psychology,Positive Psychology,3,NULL
633,B386,Postmodernism,Postmodernism,3,NULL
634,B500,Practical Computing for Comp S,Practical Computing for Comp S,3,NULL
635,B290,Practicum,Practicum,3,NULL
636,B440P,Practicum II,Math/Science Practicum,3,NULL
637,B440P,Practicum II,Practicum: Lessons in ECE,3,NULL
638,B450P,Practicum II: Teaching Readers,Lit/Social St Practicum I,3,NULL
639,B640P,Practicum in Assessing & Teach,Practicum in Assessing & Teach,3,NULL
640,B430P,Practicum in Teaching Math Sec,Practicum in Teaching Math Sec,3,NULL
641,B440P,Practicum: Lessons in ECE,Practicum: Lessons in ECE,3,NULL
642,B115,Precalculus Mathematics,Precalculus Mathematics,4,NULL
643,B150,Pre-Nurs Student in the Univ,Pre-Nurs Student in the Univ,1,NULL
644,B101,"Primates, People and Prehist","Primates, People and Prehist",3,NULL
645,B311,Princ Food Service Sanitation,Princ Food Service Sanitation,1,NULL
646,B442,Princ Modern Literary Theory,Princ Modern Literary Theory,3,NULL
647,B371,Principle Mgmt and Leadership,Principle Mgmt and Leadership,3,NULL
648,B319,Principles of Archaeology,Principles of Archaeology,3,NULL
649,B441,Principles of Biochemistry,Principles of Biochemistry,3,NULL
650,B450,Principles of Biochemistry,Principles of Biochemistry,3,NULL
651,B441L,Principles of Biochemistry Lab,Principles of Biochemistry Lab,1,NULL
652,B450L,Principles of Biochemistry Lab,Principles of Biochemistry Lab,1,NULL
653,B330,Principles of Epidemiology,Principles of Epidemiology,3,NULL
654,B303,Principles of Gerontology,Principles of Gerontology,3,NULL
655,B350,Principles of Marketing,Principles of Marketing,3,NULL
656,B215,Printmaking I,Printmaking I,3,NULL
657,B315,Printmaking II,Printmaking II,3,NULL
658,B316,Printmaking III,Printmaking III,3,NULL
659,B475,Production/Operations Mgmt,Operations & Supply Chain,3,NULL
660,B245,Prof Dev Hospitality Mgmt,Prof Dev Hospitality Mgmt,3,NULL
661,B410,Prof Nurs Leadership and Mgmt,Leading in Organizations,3,NULL
662,B410,Professional Nurs Leadership,Leading in Organizations,3,NULL
663,B435,Professional Nursing Seminar,Career Prep & Transitions,2,NULL
664,B460,Professional Writing Workshop,Professional Writing Workshop,3,NULL
665,B490,Professionalization in English,Professionalization in English,3,NULL
666,B322,Psyc of Child Development,Psyc of Child Development,3,NULL
667,B418,Psyc of Drug Use and Effects,Psyc of Drug Use and Effects,3,NULL
668,B425,Psych and the Legal System,Psych and the Legal System,3,NULL
669,B202,Psychological Statistics,Psychological Statistics,3,NULL
670,B462,Psychology in Film,Psychology in Film,3,NULL
671,B210,Psychology of Adjustment,Psychology of Adjustment,3,NULL
672,B328,Psychology of Aging,Psychology of Aging,3,NULL
673,B216,Psychology of Marriage,Psychology of Marriage,3,NULL
674,B220,Psychology of Religion,Psychology of Religion,3,NULL
675,B218,Psychology of Women,Psychology of Women,3,NULL
676,B441,Psycl Tests and Measurement,Psycl Tests and Measurement,3,NULL
677,B140,Public Communication,Public Communication,3,NULL
678,B432,Public Health Nutrition Policy,Public Health Nutrition Policy,3,NULL
679,B450,Public Health Program Devel,Public Health Program Devel,3,NULL
680,B460,Public Health Program Evalu,Public Health Program Evalu,3,NULL
681,B399,Public History Internship II,Independent Study,3,NULL
682,B401,Public Relations Campaigns,Public Relations Campaigns,3,NULL
683,B330,Quality Eval & Mmgt in Hosp,Quality Eval & Mmgt in Hosp,3,NULL
684,B321,Quantitative Analysis,Quantitative Analysis,3,NULL
685,B321L,Quantitative Analysis Lab,Quantitative Analysis Lab,1,NULL
686,B270,Quantity Food Production,Quantity Food Production,4,NULL
687,B101,RAD Self-Defense for Women,RAD Self-Defense for Women,1,NULL
688,B310,Rding Performing Shakespeare,Rding Performing Shakespeare,3,NULL
689,B201,Reading and Written Expression,Oral Expression & Career Build,3,NULL
690,B201,Reading and Written Expression,Reading and Written Expression,3,NULL
691,B497,Reading for Senior Thesis,Reading for Senior Thesis,1,NULL
692,B497,Reading for Senior Thesis,Reading for Senior Thesis,3,NULL
693,B397,Readings in Philosophy,Readings in Philosophy,3,NULL
694,B397,Readings in Philosophy,Readings in Philosophy,3,6
695,B114,Religion and Culture,Religion and Culture,3,NULL
696,B380,Research Methods in Health Pro,Research Methods in Health Pro,3,NULL
697,B200,Research Methods in Psychology,Research Methods in Psychology,3,NULL
698,B380,Research Methods Public Health,Research Methods Public Health,3,NULL
699,B797,Research Project,Research Project,3,6
700,B498,Research Seminar,Research Seminar,3,NULL
701,B243,Resources in Teaching,Resources in Teaching,3,NULL
702,B370,Restaurant Food Production Mgt,Restaurant Food Production Mgt,3,NULL
703,B301,Role Dev in Nursing,Contemporary Pro Nursing Pract,3,NULL
704,B453,Sales Management,Sales Management,3,NULL
705,B436,Science and Soc Studies ECE,Science and Soc Studies ECE,3,NULL
706,B350,Science of Evidence-Based Prac,Science of Evidence-Based Prac,3,NULL
707,B403,Sctions and Nation 1828-1860,Sctions and Nation 1828-1860,3,NULL
708,B225,Sculpture I,Sculpture I,3,NULL
709,B325,Sculpture II,Sculpture II,3,NULL
710,B326,Sculpture III,Sculpture III,3,NULL
711,B483,Secondary ELA Internship,Secondary ELA Internship,12,NULL
712,B480,Secondary ELA Methods,Secondary ELA Methods,3,NULL
713,B481,Secondary ELA Practicum,Secondary ELA Practicum,4,NULL
714,B482,Secondary ELA Seminar,Secondary ELA Seminar,3,NULL
715,B398,Selected Topics,Selected Topics,3,NULL
