CourseOfferingID,CourseID,EmployeeID,TermID,RoomID,CRN,ActualCredits,MaxEnrollment,Section,MeetingDays,MeetingTime
2746,318,454,5,78,19005,4,24,2,T Th   ,9:25 AM - 10:40 AM
2747,318,454,5,78,19006,4,24,3,T     ,12:15 PM - 1:15 PM
2748,318,454,5,78,19006,4,24,3,T Th   ,9:25 AM - 10:40 AM
2749,318,454,15,7,24499,4,24,4,NULL,NULL
2750,318,454,15,7,24500,4,24,5,NULL,NULL
2751,318,454,15,43,24499,4,24,4,Th   ,10:00 AM - 11:50 AM
2752,318,454,15,78,24499,4,24,4,T Th   ,1:40 PM - 2:55 PM
2753,318,454,15,78,24500,4,24,5,T Th   ,1:40 PM - 2:55 PM
2754,319,75,8,43,56663,4,24,3,W    ,3:55 PM - 6:55 PM
2755,319,75,8,43,58271,4,24,4,W    ,10:30 AM - 1:25 PM
2756,319,75,8,50,52104,4,24,1,T     ,8:25 AM - 9:20 AM
2757,319,75,8,50,52104,4,24,1,T Th   ,9:25 AM - 10:40 AM
2758,319,75,8,50,52105,4,24,2,T     ,8:25 AM - 9:20 AM
2759,319,75,8,50,52105,4,24,2,T Th   ,9:25 AM - 10:40 AM
2760,319,75,8,50,56663,4,24,3,T     ,8:25 AM - 9:20 AM
2761,319,75,8,50,56663,4,24,3,T Th   ,9:25 AM - 10:40 AM
2762,319,75,8,50,58271,4,24,4,T     ,8:25 AM - 9:20 AM
2763,319,75,8,50,58271,4,24,4,T Th   ,9:25 AM - 10:40 AM
2764,319,85,45,94,26516,4,48,01X,NULL,NULL
2765,319,85,45,94,26518,4,48,02X,NULL,NULL
2766,319,109,25,NULL,25285,4,24,0X3,NULL,NULL
2767,319,109,25,86,25285,4,24,0X3,T Th   ,3:05 PM - 4:20 PM
2768,319,109,34,12,26914,4,20,HN1,M W F  ,11:00 AM - 11:50 AM
2769,319,109,34,27,26914,4,20,HN1,W    ,12:00 PM - 1:50 PM
2770,319,109,34,86,27177,4,24,2,T Th   ,12:15 PM - 1:30 PM
2771,319,109,34,95,26914,4,20,HN1,NULL,NULL
2772,319,109,34,95,27177,4,24,2,NULL,NULL
2773,319,109,45,15,26520,4,20,HN1,M W F  ,11:00 AM - 11:50 AM
2774,319,109,45,27,26520,4,20,HN1,W    ,9:00 AM - 10:50 AM
2775,319,109,45,86,26591,4,24,1,T Th   ,12:15 PM - 1:30 PM
2776,319,109,45,94,26520,4,20,HN1,NULL,NULL
2777,319,109,45,94,26591,4,24,1,NULL,NULL
2778,319,109,56,15,28908,4,20,HN1,M W F  ,11:00 AM - 11:50 AM
2779,319,109,56,27,28908,4,20,HN1,W    ,9:00 AM - 10:50 AM
2780,319,109,56,94,28908,4,20,HN1,NULL,NULL
2781,319,109,66,12,28492,4,20,HN1,M W F  ,11:00 AM - 11:50 AM
2782,319,109,66,76,28493,4,24,1,T Th   ,1:40 PM - 2:55 PM
2783,319,109,66,94,28492,4,20,HN1,NULL,NULL
2784,319,109,66,94,28493,4,24,1,NULL,NULL
2785,319,109,75,12,27639,4,20,LC1,M W F  ,11:00 AM - 11:50 AM
2786,319,109,75,78,27614,4,24,1,T Th   ,1:40 PM - 2:55 PM
2787,319,109,75,94,27614,4,24,1,NULL,NULL
2788,319,109,75,94,27639,4,20,LC1,NULL,NULL
2789,319,109,86,12,27394,4,20,LC1,M W F  ,12:40 PM - 1:55 PM
2790,319,109,86,27,27394,4,20,LC1,W    ,9:50 AM - 11:40 AM
2791,319,109,19,43,50189,4,24,1,T     ,12:15 PM - 3:10 PM
2792,319,109,19,48,50189,4,24,1,T     ,8:25 AM - 9:20 AM
2793,319,109,19,48,50189,4,24,1,T Th   ,9:25 AM - 10:40 AM
2794,319,109,19,48,50190,4,24,2,T     ,8:25 AM - 9:20 AM
2795,319,109,19,48,50190,4,24,2,T Th   ,9:25 AM - 10:40 AM
2796,319,109,29,7,56652,4,24,1,NULL,NULL
2797,319,109,29,7,56653,4,24,2,NULL,NULL
2798,319,109,29,78,56652,4,24,1,T Th   ,9:25 AM - 10:40 AM
2799,319,109,29,78,56653,4,24,2,T Th   ,9:25 AM - 10:40 AM
2800,319,109,40,43,74470,4,24,42,MT Th   ,9:00 AM - 10:50 AM
2801,319,109,40,91,74470,4,24,42,MTWTh   ,12:00 PM - 2:15 PM
2802,319,109,40,95,74470,4,24,42,NULL,NULL
2803,319,109,53,95,73332,4,24,42,NULL,NULL
2804,319,109,71,94,74820,4,24,0WB,NULL,NULL
2805,319,109,84,94,74520,4,24,01B,NULL,NULL
2806,319,110,34,43,27177,4,24,2,W    ,9:00 AM - 10:50 AM
2807,319,110,34,43,27179,4,24,04X,Th   ,12:15 PM - 2:05 PM
2808,319,110,45,43,26591,4,24,1,Th   ,9:00 AM - 10:50 AM
2809,319,110,56,43,28928,4,24,1,Th   ,9:00 AM - 10:50 AM
2810,319,110,66,43,28493,4,24,1,Th   ,9:00 AM - 10:50 AM
2811,319,110,66,43,28495,4,24,01X,T     ,4:30 PM - 6:20 PM
2812,319,110,66,43,28496,4,24,02X,Th   ,12:15 PM - 2:05 PM
2813,319,110,75,43,27614,4,24,1,Th   ,9:00 AM - 10:50 AM
2814,319,110,75,43,27615,4,24,2,T     ,4:30 PM - 6:20 PM
2815,319,110,75,43,31487,4,0,CH2,T     ,4:30 PM - 6:20 PM
2816,319,110,8,43,52104,4,24,1,T     ,12:15 PM - 3:10 PM
2817,319,110,8,43,52105,4,24,2,T     ,3:15 PM - 6:10 PM
2818,319,110,19,43,52548,4,24,3,W    ,3:55 PM - 6:55 PM
2819,319,110,29,43,56653,4,24,2,Th   ,11:30 AM - 2:20 PM
2820,319,166,45,43,26516,4,24,01X,T     ,4:30 PM - 6:20 PM
2821,319,166,45,43,26518,4,24,02X,Th   ,12:15 PM - 2:05 PM
2822,319,166,56,43,28931,4,20,3,Th   ,12:15 PM - 2:05 PM
2823,319,166,86,43,27391,4,24,2,T     ,5:05 PM - 6:55 PM
2824,319,166,19,43,53419,4,24,4,W    ,10:30 AM - 1:25 PM
2825,319,166,29,43,56652,4,24,1,W    ,10:00 AM - 12:50 PM
2826,319,325,25,NULL,25283,4,24,0X1,NULL,NULL
2827,319,325,25,43,25283,4,24,0X1,T     ,4:30 PM - 6:20 PM
2828,319,325,25,43,25285,4,24,0X3,Th   ,12:15 PM - 2:05 PM
2829,319,325,25,91,25283,4,24,0X1,T Th   ,10:50 AM - 12:05 PM
2830,319,325,34,43,27178,4,24,03X,T     ,4:00 PM - 5:50 PM
2831,319,325,34,86,27178,4,24,03X,T Th   ,10:50 AM - 12:05 PM
2832,319,325,34,86,27179,4,24,04X,T Th   ,10:50 AM - 12:05 PM
2833,319,325,34,95,27178,4,24,03X,NULL,NULL
2834,319,325,34,95,27179,4,24,04X,NULL,NULL
2835,319,325,56,39,28928,4,24,1,T Th   ,12:15 PM - 1:30 PM
2836,319,325,56,81,28931,4,20,3,T Th   ,10:50 AM - 12:05 PM
2837,319,325,56,94,28928,4,24,1,NULL,NULL
2838,319,325,56,94,28931,4,20,3,NULL,NULL
2839,319,325,66,27,28492,4,20,HN1,W    ,9:00 AM - 10:50 AM
2840,319,325,66,86,28495,4,24,01X,T Th   ,10:50 AM - 12:05 PM
2841,319,325,66,86,28496,4,24,02X,T Th   ,10:50 AM - 12:05 PM
2842,319,325,66,94,28495,4,24,01X,NULL,NULL
2843,319,325,66,94,28496,4,24,02X,NULL,NULL
2844,319,325,75,27,27639,4,20,LC1,W    ,9:00 AM - 10:50 AM
2845,319,325,75,43,27616,4,24,3,Th   ,12:15 PM - 2:05 PM
2846,319,325,75,43,31486,4,0,CH3,Th   ,12:15 PM - 2:05 PM
2847,319,325,75,86,27615,4,24,2,T Th   ,10:50 AM - 12:05 PM
2848,319,325,75,86,27616,4,24,3,T Th   ,10:50 AM - 12:05 PM
2849,319,325,75,86,31486,4,0,CH3,T Th   ,10:50 AM - 12:05 PM
2850,319,325,75,86,31487,4,0,CH2,T Th   ,10:50 AM - 12:05 PM
2851,319,325,75,94,27615,4,24,2,NULL,NULL
2852,319,325,75,94,27616,4,24,3,NULL,NULL
2853,319,325,75,94,31486,4,0,CH3,NULL,NULL
2854,319,325,75,94,31487,4,0,CH2,NULL,NULL
2855,319,325,86,43,27393,4,24,3,Th   ,12:40 PM - 2:30 PM
2856,319,325,86,86,27391,4,24,2,T Th   ,11:15 AM - 12:30 PM
2857,319,325,86,86,27393,4,24,3,T Th   ,11:15 AM - 12:30 PM
2858,319,325,19,43,50190,4,24,2,T     ,3:15 PM - 6:10 PM
2859,319,325,29,43,56655,4,24,3,T     ,3:15 PM - 6:10 PM
2860,319,325,23,43,76790,4,24,42,MT Th   ,9:00 AM - 10:50 AM
2861,319,325,23,76,76790,4,24,42,MTWTh   ,12:00 PM - 2:15 PM
2862,319,325,23,76,76790,4,24,42,W    ,9:00 AM - 11:15 AM
2863,319,325,33,43,74700,4,24,42,MT Th   ,9:00 AM - 10:50 AM
2864,319,325,33,76,74700,4,24,42,MTWTh   ,12:00 PM - 2:15 PM
2865,319,325,33,76,74700,4,24,42,W    ,9:00 AM - 11:15 AM
2866,319,325,64,94,73643,4,24,02W,NULL,NULL
2867,319,454,19,78,52548,4,24,3,T     ,8:25 AM - 9:20 AM
2868,319,454,19,78,52548,4,24,3,T Th   ,9:25 AM - 10:40 AM
2869,319,454,19,78,53419,4,24,4,T     ,8:25 AM - 9:20 AM
2870,319,454,19,78,53419,4,24,4,T Th   ,9:25 AM - 10:40 AM
2871,319,454,29,7,56655,4,24,3,NULL,NULL
2872,319,454,29,7,56656,4,24,4,NULL,NULL
2873,319,454,29,43,56656,4,24,4,F  ,1:00 PM - 3:50 PM
2874,319,454,29,91,56655,4,24,3,T Th   ,9:25 AM - 10:40 AM
2875,319,454,29,91,56656,4,24,4,T Th   ,9:25 AM - 10:40 AM
2876,725,109,25,39,25258,3,24,1,T Th   ,12:15 PM - 1:30 PM
2877,725,109,78,39,55196,3,24,1,T Th   ,3:05 PM - 4:20 PM
2878,725,109,89,93,55313,3,24,1,T Th   ,3:05 PM - 4:20 PM
2879,641,110,1,91,20569,3,24,1,T Th   ,9:25 AM - 10:40 AM
2880,641,110,1,91,20570,3,24,2,T Th   ,9:25 AM - 10:40 AM
2881,641,110,5,88,19007,3,29,1,T Th   ,3:05 PM - 4:20 PM
2882,641,110,5,88,19008,3,24,2,T Th   ,3:05 PM - 4:20 PM
2883,641,110,15,48,24502,3,72,1,T Th   ,3:05 PM - 4:20 PM
2884,641,110,25,48,25257,3,72,1,T Th   ,3:05 PM - 4:20 PM
2885,641,110,49,78,55847,3,48,1,T Th   ,12:15 PM - 1:30 PM
2886,641,110,60,78,57096,3,48,01F,T Th   ,12:15 PM - 1:30 PM
2887,641,110,60,78,60459,3,1,H1F,T Th   ,12:15 PM - 1:30 PM
2888,641,110,69,86,57536,3,48,1,T Th   ,12:15 PM - 1:30 PM
2889,641,110,78,86,55201,3,48,1,T Th   ,12:15 PM - 1:30 PM
2890,641,110,89,86,55315,3,68,1,T Th   ,12:15 PM - 1:30 PM
2891,641,110,12,39,75283,3,24,41,MT ThF  ,9:00 AM - 11:15 AM
2892,641,110,20,77,76788,3,24,41,MTWTh   ,9:00 AM - 11:15 AM
2893,641,110,43,76,74471,3,24,41,MTWTh   ,9:00 AM - 11:15 AM
2894,641,110,61,94,73652,3,30,01W,NULL,NULL
2895,641,110,73,94,74818,3,30,0WA,NULL,NULL
2896,641,110,82,94,74518,3,30,01A,NULL,NULL
2897,641,126,30,75,74705,3,24,41,MTWTh   ,9:00 AM - 11:15 AM
2898,641,325,39,78,56879,3,48,1,T Th   ,12:15 PM - 1:30 PM
2899,641,325,49,12,55802,3,20,HN1,M W F  ,9:00 AM - 9:50 AM
2900,641,325,60,12,57101,3,20,HWS,M W F  ,10:00 AM - 10:50 AM
2901,641,325,69,19,57538,3,20,HN1,M W F  ,10:00 AM - 10:50 AM
2902,641,325,78,19,55202,3,20,B01,M W F  ,10:00 AM - 10:50 AM
2903,641,325,89,19,55316,3,32,B01,M W F  ,10:00 AM - 10:50 AM
2904,642,110,34,78,28856,3,72,1,T Th   ,3:05 PM - 4:20 PM
2905,642,110,45,78,26527,3,72,1,T Th   ,3:05 PM - 4:20 PM
2906,642,110,45,94,26529,3,20,WS1,M W    ,5:00 PM - 6:15 PM
2907,642,110,56,78,28912,3,72,1,T Th   ,3:05 PM - 4:20 PM
2908,642,110,66,78,28506,3,48,1,T Th   ,3:05 PM - 4:20 PM
2909,642,110,75,78,27620,3,48,1,T Th   ,3:05 PM - 4:20 PM
2910,642,110,75,78,31485,3,0,CH1,T Th   ,3:05 PM - 4:20 PM
2911,642,110,8,39,52107,3,34,1,T Th   ,9:25 AM - 10:40 AM
2912,642,110,19,91,50192,3,48,1,T Th   ,9:25 AM - 10:40 AM
2913,642,110,29,48,56682,3,48,01L,T Th   ,9:25 AM - 10:40 AM
2914,642,110,39,48,55796,3,53,1,T Th   ,9:25 AM - 10:40 AM
2915,642,110,10,39,75285,3,12,42,MT ThF  ,9:00 AM - 11:15 AM
2916,642,110,23,77,76791,3,24,42,MTWTh   ,9:00 AM - 11:15 AM
2917,642,110,40,91,74473,3,24,42,MTWTh   ,9:00 AM - 11:15 AM
2918,642,110,53,95,73334,3,24,42,NULL,NULL
2919,642,110,64,94,73645,3,24,02W,NULL,NULL
2920,642,110,71,94,74822,3,24,0WB,NULL,NULL
2921,642,110,84,94,74522,3,24,01B,NULL,NULL
2922,642,126,33,75,74706,3,24,42,MTWTh   ,9:00 AM - 11:15 AM
2923,642,325,56,15,28913,3,24,B01,M W F  ,10:00 AM - 10:50 AM
2924,642,325,66,15,28507,3,20,B01,M W    ,5:00 PM - 6:15 PM
2925,642,325,75,15,27621,3,20,B01,M W F  ,11:00 AM - 11:50 AM
2926,642,325,86,15,27401,3,20,B01,M W F  ,11:15 AM - 12:05 PM
2927,642,325,86,86,27400,3,48,1,T Th   ,3:30 PM - 4:45 PM
2928,423,109,5,NULL,29821,3,1,I01,NULL,NULL
2929,423,109,34,NULL,31180,3,1,I01,NULL,NULL
2930,423,109,75,NULL,31298,2,1,IS1,NULL,NULL
2931,423,109,75,NULL,31299,2,1,IS2,NULL,NULL
2932,423,109,86,NULL,31172,3,1,1IS,NULL,NULL
2933,423,109,86,NULL,31183,3,1,2IS,NULL,NULL
2934,423,109,29,NULL,58858,3,2,I01,NULL,NULL
2935,423,109,39,NULL,59256,3,2,I01,NULL,NULL
2936,423,109,78,NULL,59755,3,1,1,NULL,NULL
2937,423,109,78,NULL,59831,1,0,2,NULL,NULL
2938,423,109,89,NULL,59717,3,1,1IS,NULL,NULL
2939,423,109,89,NULL,59718,3,1,2IS,NULL,NULL
2940,423,109,89,NULL,59719,3,1,3IS,NULL,NULL
2941,423,109,89,NULL,59722,3,1,4IS,NULL,NULL
2942,690,109,34,88,27184,3,10,01X,T Th   ,8:00 AM - 9:15 AM
2943,690,109,45,39,26504,3,10,01X,T Th   ,8:00 AM - 9:15 AM
2944,690,109,56,76,28898,3,10,1,T Th   ,8:00 AM - 9:15 AM
2945,690,109,66,75,28508,3,10,1,T Th   ,8:00 AM - 9:15 AM
2946,690,109,75,75,27606,3,10,1,T Th   ,8:00 AM - 9:15 AM
2947,690,109,86,75,28718,3,10,1,T Th   ,8:15 AM - 9:30 AM
2948,690,109,8,93,56272,3,12,X01,T Th   ,3:05 PM - 4:20 PM
2949,690,109,19,41,52494,3,4,0X1,T Th   ,6:05 PM - 7:20 PM
2950,690,109,29,93,56691,3,15,1,T Th   ,6:05 PM - 7:20 PM
2951,690,109,39,86,55622,3,6,0X1,T Th   ,6:00 PM - 7:15 PM
2952,718,521,71,94,75331,3,15,02B,MTWTh   ,10:30 AM - 12:45 PM
2953,718,4,66,61,30988,3,25,B01,T Th   ,3:05 PM - 4:20 PM
2954,718,4,66,62,29354,3,25,1,M W F  ,8:00 AM - 8:50 AM
2955,718,4,66,62,29356,3,25,2,M W F  ,9:00 AM - 9:50 AM
2956,718,4,66,62,29361,3,25,4,T Th   ,8:00 AM - 9:15 AM
2957,718,4,75,19,28221,3,27,B01,T Th   ,3:05 PM - 4:20 PM
2958,718,4,75,62,28197,3,25,1,M W F  ,9:00 AM - 9:50 AM
2959,718,4,75,62,28199,3,25,3,M W F  ,1:30 PM - 2:20 PM
2960,718,4,69,81,55897,3,22,1,M W F  ,8:00 AM - 8:50 AM
2961,718,4,69,81,55898,3,22,2,M W F  ,9:00 AM - 9:50 AM
2962,718,4,78,19,56551,3,22,B01,T Th   ,3:05 PM - 4:20 PM
2963,718,4,78,62,56547,3,22,1,M W F  ,8:00 AM - 8:50 AM
2964,718,4,78,62,56548,3,22,2,M W F  ,9:00 AM - 9:50 AM
2965,718,4,78,62,56549,3,22,3,M W F  ,10:00 AM - 10:50 AM
2966,718,4,78,75,56564,3,22,4,T Th   ,10:50 AM - 12:05 PM
2967,718,4,89,19,56766,3,22,B01,T Th   ,3:05 PM - 4:20 PM
2968,718,4,89,90,56921,3,22,1,M W F  ,9:00 AM - 9:50 AM
2969,718,4,84,94,75044,3,25,0WB,NULL,NULL
2970,718,43,1,39,22137,3,25,2,T Th   ,8:00 AM - 9:15 AM
2971,718,43,1,75,22138,3,25,3,T Th   ,10:50 AM - 12:05 PM
2972,718,43,5,39,20165,3,25,2,T Th   ,8:00 AM - 9:15 AM
2973,718,43,5,75,20166,3,25,3,T Th   ,10:50 AM - 12:05 PM
2974,718,43,15,76,24726,3,25,8,M W    ,3:30 PM - 4:45 PM
2975,718,43,25,77,30452,3,25,9,M W F  ,11:00 AM - 11:50 AM
2976,718,43,45,94,31775,3,25,WM1,NULL,NULL
2977,718,43,45,94,31775,3,25,WM1,M W    ,8:00 AM - 8:50 AM
2978,718,43,56,94,28555,3,25,02W,M W F  ,10:00 AM - 10:50 AM
2979,718,43,66,62,29357,3,25,3,M W F  ,10:00 AM - 10:50 AM
2980,718,43,66,62,31665,3,0,CH3,M W F  ,10:00 AM - 10:50 AM
2981,718,43,8,76,52327,3,25,3,M W F  ,10:30 AM - 11:20 AM
2982,718,43,19,76,50379,3,22,3,T Th   ,8:00 AM - 9:15 AM
2983,718,43,29,88,54266,3,25,6,M W F  ,10:00 AM - 10:50 AM
2984,718,43,69,39,55899,3,22,3,M W F  ,10:00 AM - 10:50 AM
2985,718,43,78,90,56550,3,22,5,T Th   ,10:50 AM - 12:05 PM
2986,718,43,61,94,73589,3,22,01W,NULL,NULL
2987,718,43,73,94,75330,3,15,01A,MTWTh   ,10:30 AM - 12:45 PM
2988,718,69,75,90,28200,3,25,5,T Th   ,12:15 PM - 1:30 PM
2989,718,69,75,91,28208,3,25,4,T Th   ,10:50 AM - 12:05 PM
2990,718,191,86,39,28501,3,25,1,T Th   ,11:15 AM - 12:30 PM
2991,718,191,86,90,28508,3,25,6,T Th   ,2:05 PM - 3:20 PM
2992,718,195,1,87,22209,3,25,4,Th   ,6:00 PM - 9:00 PM
2993,718,195,1,87,27038,3,25,10,W    ,6:00 PM - 9:00 PM
2994,718,195,5,92,20184,3,25,4,Th   ,6:00 PM - 9:00 PM
2995,718,195,25,87,25347,3,25,7,Th   ,6:00 PM - 9:00 PM
2996,718,195,34,62,25721,3,25,1,M W F  ,8:00 AM - 8:50 AM
2997,718,195,34,88,25732,3,22,6,Th   ,6:00 PM - 9:00 PM
2998,718,195,56,81,28553,3,25,1,M W F  ,8:00 AM - 8:50 AM
2999,718,195,75,75,30975,3,25,6,Th   ,5:00 PM - 8:00 PM
3000,718,195,8,62,52360,3,25,4,Th   ,6:00 PM - 8:30 PM
3001,718,195,19,76,50408,3,22,4,Th   ,6:00 PM - 9:00 PM
3002,718,195,29,62,54270,3,25,8,Th   ,6:00 PM - 9:00 PM
3003,718,195,49,62,55948,3,22,7,Th   ,6:00 PM - 9:00 PM
3004,718,195,78,76,56563,3,22,6,W    ,6:00 PM - 9:00 PM
3005,718,212,1,81,22030,3,25,1,M W F  ,8:00 AM - 8:50 AM
3006,718,212,1,87,22212,3,25,5,M W F  ,10:00 AM - 10:50 AM
3007,718,212,8,62,57447,3,25,5,T     ,6:00 PM - 8:30 PM
3008,718,212,8,76,52326,3,25,2,T Th   ,8:00 AM - 9:15 AM
3009,718,212,8,76,54385,3,25,1,T Th   ,12:15 PM - 1:30 PM
3010,718,237,15,62,24716,3,25,1,M W F  ,8:00 AM - 8:50 AM
3011,718,237,15,76,24729,3,25,11,Th   ,6:00 PM - 9:00 PM
3012,718,237,15,89,29827,3,25,6,M W F  ,2:30 PM - 3:20 PM
3013,718,237,15,91,24727,3,25,9,M W F  ,10:00 AM - 10:50 AM
3014,718,237,15,91,24728,3,25,10,M W F  ,11:00 AM - 11:50 AM
3015,718,237,25,62,25359,3,25,11,T Th   ,9:25 AM - 10:40 AM
3016,718,237,25,62,25360,3,25,12,T Th   ,10:50 AM - 12:05 PM
3017,718,237,25,88,25338,3,25,1,M W F  ,9:00 AM - 9:50 AM
3018,718,237,25,88,25339,3,25,2,M W F  ,10:00 AM - 10:50 AM
3019,718,237,25,88,25346,3,25,6,M W    ,5:00 PM - 6:15 PM
3020,718,237,34,39,25733,3,22,7,T Th   ,10:50 AM - 12:05 PM
3021,718,237,34,49,25724,3,22,2,M W F  ,10:00 AM - 10:50 AM
3022,718,237,34,88,25729,3,22,3,M W F  ,1:30 PM - 2:20 PM
3023,718,237,34,89,25734,3,22,8,T Th   ,1:40 PM - 2:55 PM
3024,718,237,45,94,31775,3,25,WM1,NULL,NULL
3025,718,237,45,94,31775,3,25,WM1,M W    ,8:00 AM - 8:50 AM
3026,718,237,56,94,28554,3,25,01W,M W F  ,9:00 AM - 9:50 AM
3027,718,237,56,94,28558,3,25,03W,NULL,NULL
3028,718,237,56,94,28559,3,25,04W,NULL,NULL
3029,718,237,56,94,31280,3,25,05W,NULL,NULL
3030,718,237,56,94,31744,3,0,H0W,M W F  ,9:00 AM - 9:50 AM
3031,718,237,29,62,54263,3,25,3,M W F  ,10:00 AM - 10:50 AM
3032,718,237,29,62,54264,3,25,4,M W F  ,11:00 AM - 11:50 AM
3033,718,237,29,89,54261,3,25,1,T Th   ,9:25 AM - 10:40 AM
3034,718,237,39,62,53105,3,22,1,T Th   ,9:25 AM - 10:40 AM
3035,718,237,39,62,53106,3,22,2,T Th   ,12:15 PM - 1:30 PM
3036,718,237,49,62,55950,3,22,1,T Th   ,9:25 AM - 10:40 AM
3037,718,237,49,62,55951,3,22,2,T Th   ,12:15 PM - 1:30 PM
3038,718,237,49,87,55969,3,22,6,M W F  ,9:00 AM - 9:50 AM
3039,718,237,60,94,58084,3,25,WM1,NULL,NULL
3040,718,237,60,94,58085,3,25,WM2,NULL,NULL
3041,718,237,69,87,55900,3,22,4,T Th   ,9:25 AM - 10:40 AM
3042,718,237,69,87,55901,3,22,5,T Th   ,12:15 PM - 1:30 PM
3043,718,237,69,87,55905,3,22,6,Th   ,10:50 AM - 12:05 PM
3044,718,237,69,87,55906,3,22,7,T Th   ,3:05 PM - 4:20 PM
3045,718,237,69,94,55905,3,22,6,NULL,NULL
3046,718,257,5,75,20097,3,25,1,M W F  ,8:30 AM - 9:20 AM
3047,718,257,5,75,20187,3,25,5,M W F  ,10:30 AM - 11:20 AM
3048,718,257,5,81,20223,3,25,8,M W    ,3:20 PM - 4:35 PM
3049,718,257,5,81,20225,3,25,9,T Th   ,1:40 PM - 2:55 PM
3050,718,257,5,89,20221,3,25,7,M W    ,4:45 PM - 6:00 PM
3051,718,257,15,62,24717,3,25,2,M W F  ,9:00 AM - 9:50 AM
3052,718,257,15,88,24719,3,25,4,M W F  ,11:00 AM - 11:50 AM
3053,718,257,15,88,24720,3,25,5,M W F  ,12:00 PM - 12:50 PM
3054,718,257,19,76,50378,3,22,2,T Th   ,12:15 PM - 1:30 PM
3055,718,257,19,76,50380,3,22,6,M W F  ,10:30 AM - 11:20 AM
3056,718,257,19,76,52089,3,22,1,T     ,6:00 PM - 9:00 PM
3057,718,257,20,91,76573,3,22,41,MTWTh   ,8:00 AM - 10:15 AM
3058,718,284,86,23,28504,3,24,2,M W    ,9:50 AM - 11:05 AM
3059,718,284,86,23,28505,3,24,3,M W    ,11:15 AM - 12:30 PM
3060,718,284,89,50,57900,3,22,4,M W    ,12:00 PM - 1:15 PM
3061,718,284,89,62,57899,3,22,3,M W    ,10:00 AM - 11:15 AM
3062,718,303,34,86,30773,3,22,11,T Th   ,3:05 PM - 4:20 PM
3063,718,303,34,87,30772,3,22,10,M W F  ,2:30 PM - 3:20 PM
3064,718,303,45,88,30259,3,25,01F,M W F  ,2:30 PM - 3:20 PM
3065,718,303,45,91,24508,3,25,02F,T Th   ,3:05 PM - 4:20 PM
3066,718,303,45,94,24562,3,25,02W,NULL,NULL
3067,718,303,49,75,57444,3,25,9,T Th   ,3:05 PM - 4:20 PM
3068,718,303,49,87,57205,3,22,3,T Th   ,4:30 PM - 5:45 PM
3069,718,303,49,91,55970,3,22,8,M W F  ,2:30 PM - 3:20 PM
3070,718,303,60,94,54802,3,25,1,NULL,NULL
3071,718,303,53,95,73296,3,22,42,NULL,NULL
3072,718,404,15,88,24725,3,25,7,T Th   ,4:30 PM - 5:45 PM
3073,718,404,29,86,54271,3,25,9,M W    ,3:30 PM - 4:45 PM
3074,718,404,29,88,54272,3,25,10,M W    ,5:00 PM - 6:15 PM
3075,718,404,27,7,54316,3,25,S81,NULL,NULL
3076,718,404,27,77,54316,3,25,S81,S ,8:30 AM - 12:00 PM
3077,718,420,15,62,24718,3,25,3,M W F  ,10:00 AM - 10:50 AM
3078,718,420,15,62,24730,3,25,12,T Th   ,12:15 PM - 1:30 PM
3079,718,420,25,88,30378,3,25,4,M W F  ,8:00 AM - 8:50 AM
3080,718,420,19,75,54780,3,22,5,M W F  ,11:30 AM - 12:20 PM
3081,718,420,29,10,54260,3,18,C02,T Th   ,1:45 PM - 3:15 PM
3082,718,420,39,87,53109,3,22,5,M W F  ,8:00 AM - 8:50 AM
3083,718,420,43,95,73844,3,25,W41,NULL,NULL
3084,718,485,15,7,24722,3,25,H06,NULL,NULL
3085,718,485,15,7,29580,3,25,H02,NULL,NULL
3086,718,485,15,81,24722,3,25,H06,T     ,8:00 AM - 9:15 AM
3087,718,485,15,81,29580,3,25,H02,Th   ,8:00 AM - 9:15 AM
3088,718,485,25,7,25351,3,25,0H1,NULL,NULL
3089,718,485,25,7,25355,3,25,0H2,NULL,NULL
3090,718,485,25,62,25351,3,25,0H1,T     ,8:00 AM - 9:15 AM
3091,718,485,25,62,25355,3,25,0H2,Th   ,8:00 AM - 9:15 AM
3092,718,485,34,50,25735,3,22,01F,T     ,8:00 AM - 9:15 AM
3093,718,485,34,73,25914,3,22,0TF,Th   ,1:00 PM - 2:15 PM
3094,718,485,34,95,25735,3,22,01F,NULL,NULL
3095,718,485,34,95,25914,3,22,0TF,NULL,NULL
3096,718,485,45,94,24463,3,25,03W,NULL,NULL
3097,718,485,45,94,25933,3,25,01W,NULL,NULL
3098,718,485,86,52,30935,3,25,8,W    ,2:05 PM - 3:20 PM
3099,718,485,86,52,30936,3,25,9,W    ,3:30 PM - 4:45 PM
3100,718,485,86,94,30935,3,25,8,NULL,NULL
3101,718,485,86,94,30936,3,25,9,NULL,NULL
3102,718,485,29,7,54268,3,25,0H1,NULL,NULL
3103,718,485,29,7,54269,3,25,0H2,NULL,NULL
3104,718,485,29,62,54268,3,25,0H1,T     ,8:00 AM - 9:15 AM
3105,718,485,29,62,54269,3,25,0H2,Th   ,8:00 AM - 9:15 AM
3106,718,485,39,62,53114,3,22,01F,T     ,8:00 AM - 9:15 AM
3107,718,485,39,62,53115,3,22,02F,Th   ,8:00 AM - 9:15 AM
3108,718,485,39,95,53114,3,22,01F,NULL,NULL
