CourseOfferingID,CourseID,EmployeeID,TermID,RoomID,CRN,ActualCredits,MaxEnrollment,Section,MeetingDays,MeetingTime
149,459,446,72,94,74806,2,5,01W,NULL,NULL
150,459,446,83,NULL,75249,2,5,1,NULL,NULL
151,19,379,66,76,28965,3,15,1,T Th   ,12:15 PM - 1:30 PM
152,19,379,75,76,27745,3,15,1,T Th   ,12:15 PM - 1:30 PM
153,19,379,86,76,28434,3,15,1,T Th   ,11:15 AM - 12:30 PM
154,64,104,8,77,52266,3,20,1,T Th   ,4:30 PM - 5:45 PM
155,64,104,19,75,50328,3,25,1,T Th   ,4:30 PM - 5:45 PM
156,64,107,29,7,55463,3,30,W01,NULL,NULL
157,64,379,39,76,54799,3,30,1,M W F  ,1:30 PM - 2:20 PM
158,64,379,49,75,55759,3,25,1,M W F  ,12:00 PM - 12:50 PM
159,64,379,60,94,58102,3,25,WS1,M W F  ,11:00 AM - 11:50 AM
160,64,379,69,94,56991,3,25,01W,M W F  ,12:00 PM - 12:50 PM
161,64,379,78,39,56683,3,20,1,T Th   ,8:00 AM - 9:15 AM
162,64,379,89,76,56571,3,20,1,T Th   ,10:50 AM - 12:05 PM
163,471,218,87,62,28255,3,25,1,T     ,5:00 PM - 7:30 PM
164,471,218,87,94,28255,3,25,1,NULL,NULL
165,471,472,1,77,22191,3,28,1,T Th   ,4:30 PM - 5:45 PM
166,471,472,5,77,20176,3,28,1,T Th   ,4:30 PM - 5:45 PM
167,471,472,15,77,24743,3,25,1,T Th   ,4:30 PM - 5:45 PM
168,471,472,25,77,25535,3,25,1,T Th   ,4:30 PM - 5:45 PM
169,471,472,34,88,26647,3,25,1,T Th   ,4:30 PM - 5:45 PM
170,471,472,45,94,24532,3,25,01W,NULL,NULL
171,471,472,56,15,26305,3,15,B01,T Th   ,4:30 PM - 5:45 PM
172,471,472,56,39,26318,3,15,1,T Th   ,4:30 PM - 5:45 PM
173,471,472,66,15,27518,3,10,B01,T Th   ,4:30 PM - 5:45 PM
174,471,472,66,39,27517,3,20,1,T Th   ,4:30 PM - 5:45 PM
175,471,472,8,39,56163,3,30,1,M W    ,1:55 PM - 3:10 PM
176,471,472,60,19,54564,3,30,WM1,T Th   ,4:30 PM - 5:45 PM
177,471,472,69,15,56366,3,10,B01,T Th   ,4:30 PM - 5:45 PM
178,471,472,69,39,56363,3,20,1,T Th   ,4:30 PM - 5:45 PM
179,471,472,78,92,56545,3,35,1,T Th   ,4:30 PM - 5:45 PM
180,471,472,89,90,56522,3,25,1,T Th   ,4:30 PM - 5:45 PM
181,472,83,90,94,56523,3,25,0WB,NULL,NULL
182,472,218,90,94,56523,3,25,0WB,NULL,NULL
183,472,472,46,94,26835,3,25,PW2,NULL,NULL
184,472,472,54,15,26303,3,15,B01,T Th   ,3:05 PM - 4:20 PM
185,472,472,54,39,26317,3,15,1,T Th   ,3:05 PM - 4:20 PM
186,472,472,67,94,27519,3,25,0WB,NULL,NULL
187,472,472,77,94,27003,3,25,0WB,NULL,NULL
188,472,472,85,94,28256,3,25,0WB,NULL,NULL
189,472,472,29,87,58563,3,30,1,T Th   ,4:30 PM - 5:45 PM
190,472,472,39,62,53052,3,25,1,T Th   ,4:30 PM - 5:45 PM
191,472,472,49,88,55936,3,25,1,T Th   ,4:30 PM - 5:45 PM
192,472,472,59,94,54548,3,30,WSB,T Th   ,3:05 PM - 4:20 PM
193,472,472,70,94,56169,3,25,0WB,NULL,NULL
194,472,472,79,94,56544,3,25,PW2,NULL,NULL
195,472,472,90,94,56523,3,25,0WB,NULL,NULL
196,684,83,1,86,22122,3,68,1,M W F  ,10:00 AM - 10:50 AM
197,684,83,5,78,20153,3,70,1,M W F  ,10:30 AM - 11:20 AM
198,684,83,15,86,24751,3,68,1,T Th   ,12:15 PM - 1:30 PM
199,684,83,25,86,25502,3,68,1,T Th   ,12:15 PM - 1:30 PM
200,684,83,34,86,28863,3,68,1,M W    ,12:00 PM - 1:15 PM
201,684,83,45,94,24311,3,68,01W,NULL,NULL
202,684,83,56,78,26344,3,37,1,M W    ,12:00 PM - 1:15 PM
203,684,83,66,86,27520,3,67,1,M W    ,12:00 PM - 1:15 PM
204,684,83,66,86,31636,3,0,CH1,M W    ,12:00 PM - 1:15 PM
205,684,83,75,86,26040,3,68,1,M W    ,12:00 PM - 1:15 PM
206,684,83,86,78,28257,3,70,1,M W    ,11:15 AM - 12:30 PM
207,684,83,8,78,52317,3,70,1,T Th   ,9:25 AM - 10:40 AM
208,684,83,19,78,50372,3,70,1,M W    ,12:30 PM - 1:45 PM
209,684,83,29,78,55187,3,70,1,T Th   ,10:50 AM - 12:05 PM
